"","KRAB-ZNF","Gene","coef","pvalue","exp"
"1","ZNF263","ISL2",0.880384850327406,0.00173050132558185,"up-regulated"
"2","ZNF263","NR4A2",0.835951263576751,0.00499533268300474,"up-regulated"
"3","ZNF263","NCAM2",0.853922272666866,0.00339027623612071,"up-regulated"
"4","ZNF667","RAB27A",-0.831176947182607,0.00549575703079316,"up-regulated"
"5","ZNF667","NR4A2",0.826662698199625,0.00599941352035538,"up-regulated"
"6","ZNF667","PLCB1",0.8137339481461,0.0076141677674652,"up-regulated"
"7","ZNF667","IL1RAP",0.927104429633322,0.000320481996036825,"up-regulated"
"8","ZNF667","TPBG",-0.890941147369331,0.0012658445563647,"up-regulated"
"9","ZKSCAN3","SERPINI1",-0.826778224944174,0.00598614687568364,"up-regulated"
"10","ZKSCAN3","EPM2A",0.838490935183592,0.00474227573104928,"up-regulated"
"11","ZKSCAN3","ICA1",-0.84250640827013,0.00436028989680062,"up-regulated"
"12","ZNF418","NR4A2",0.914877026912349,0.000544754139714592,"up-regulated"
"13","ZNF418","PLCB1",0.823576203057241,0.00636131660522842,"up-regulated"
"14","ZNF417","EPM2A",0.853951826816018,0.00338797883835448,"up-regulated"
"15","ZNF417","ICA1",-0.860373538222113,0.00291372291630289,"up-regulated"
"110","ZNF263","ADORA1",0.807819268550593,0.00844230917025885,"down-regulated"
"210","ZNF263","CNTN5",0.864728622219362,0.00261948259889614,"down-regulated"
"36","ZNF263","ARHGAP32",0.806109659003181,0.00869257278831549,"down-regulated"
"41","ZNF263","ATP2B1",-0.806113649787422,0.00869198281944089,"down-regulated"
"51","ZNF263","GPHN",-0.817156584970305,0.00716108508621328,"down-regulated"
"61","ZNF263","GAP43",0.818364370312711,0.0070056783165314,"down-regulated"
"71","ZNF263","AP3B1",-0.821808547252013,0.00657512974886675,"down-regulated"
"81","ZNF263","WASF1",0.891083697361091,0.00126024471342257,"down-regulated"
"91","ZNF667","ITM2C",-0.827989095050027,0.00584829614281933,"down-regulated"
"101","ZNF667","CHL1",0.921076244595355,0.000420688321041483,"down-regulated"
"111","ZNF667","ROBO1",0.811661082031061,0.00789781535036716,"down-regulated"
"121","ZNF667","CD200",-0.888130176961995,0.00137983406150062,"down-regulated"
"131","ZNF667","EMB",0.854389336190235,0.0033540940330866,"down-regulated"
"141","ZNF667","SLC12A2",0.877907738376344,0.00185453786995433,"down-regulated"
"151","ZNF667","ABHD17B",-0.836158739432208,0.00497432116692151,"down-regulated"
"16","ZKSCAN3","CELF4",-0.910604918434065,0.000643832070950031,"down-regulated"
"17","ZKSCAN3","NETO1",0.863053798785604,0.00273008735139319,"down-regulated"
"18","ZKSCAN3","DNER",-0.867254829173605,0.00245855860078776,"down-regulated"
"19","ZKSCAN3","ATP6V1A",-0.849442586267465,0.00375103862573138,"down-regulated"
"20","ZKSCAN3","CLDN11",-0.87055441480396,0.00225882140545853,"down-regulated"
"21","ZKSCAN3","GABRA4",-0.873321674639962,0.00210019201807671,"down-regulated"
"22","ZKSCAN3","FZD3",-0.855537680778093,0.00326626519442079,"down-regulated"
"23","ZKSCAN3","EXT1",-0.830262515536575,0.00559535563226193,"down-regulated"
"24","ZKSCAN3","C9orf72",-0.807999128634053,0.00841626725698913,"down-regulated"
"25","ZKSCAN3","BMPR2",-0.838940026135896,0.00469845972123642,"down-regulated"
"26","ZNF418","SCYL3",-0.930866797967176,0.000267228631640913,"down-regulated"
"27","ZNF418","CHL1",0.816181811589184,0.00728820490965664,"down-regulated"
"28","ZNF418","ROBO1",0.845817369731292,0.0040616222066728,"down-regulated"
"29","ZNF418","CD200",-0.82684590243836,0.00597838434823254,"down-regulated"
"30","ZNF418","AP3B1",-0.870984033777549,0.00223366899826188,"down-regulated"
"31","ZNF418","SLC12A2",0.923040186909616,0.000385931634992145,"down-regulated"
"32","ZNF418","ABHD17B",-0.814220416582217,0.00754861663881747,"down-regulated"
"33","ZNF417","CELF4",-0.837120857292514,0.00487767476687672,"down-regulated"
"34","ZNF417","WASF1",0.828857390624019,0.0057507889014179,"down-regulated"
"35","ZNF417","FZD3",-0.809978645325655,0.00813323860116519,"down-regulated"
